from,to,factor,factor_normalized
acres,ares,40.47,40.468564224
acres,hectares,0.40,0.404685642
acres,square feet,43560.00,43560.000000000
acres,square kilometers,0.00,0.004046856
acres,square meters,4046.86,4046.856422400
acres,square miles (statute),0.00,0.001562500
acres,square yards,4840.00,4840.000000000
ares,square meters,100.00,100.000000000
ares,square yards,119.60,119.599000000
"barrels, US beer",gallons,31.00,31.000000000
"barrels, US beer",liters,117.35,117.347770000
"barrels, US petroleum",gallons (British),34.97,34.970000000
"barrels, US petroleum",gallons (US),42.00,42.000000000
"barrels, US petroleum",liters,158.99,158.987290000
"barrels, US proof spirits",gallons,40.00,40.000000000
"barrels, US proof spirits",liters,151.42,151.416470000
bushels (US),bushels (British),0.97,0.968900000
bushels (US),cubic feet,1.24,1.244456000
bushels (US),cubic inches,2150.42,2150.420000000
bushels (US),cubic meters,0.04,0.035239070
bushels (US),cubic yards,0.05,0.046090960
bushels (US),dekaliters,3.52,3.523907000
bushels (US),dry pints,64.00,64.000000000
bushels (US),dry quarts,32.00,32.000000000
bushels (US),liters,35.24,35.239070170
bushels (US),pecks,4.00,4.000000000
cables,fathoms,120.00,120.000000000
cables,meters,219.46,219.456000000
cables,yards,240.00,240.000000000
carat,milligrams,200.00,200.000000000
centimeters,feet,0.03,0.032808400
centimeters,inches,0.39,0.393700800
centimeters,meters,0.01,0.010000000
centimeters,yards,0.01,0.010936130
"centimeters, cubic",cubic inches,0.06,0.061023744
"centimeters, square",square feet,0.00,0.001076390
"centimeters, square",square inches,0.16,0.155000310
"centimeters, square",square meters,0.00,0.000100000
"centimeters, square",square yards,0.00,0.000119599
"chains, square surveyor's",ares,4.05,4.046860000
"chains, square surveyor's",square feet,4356.00,4356.000000000
"chains, surveyor's",feet,66.00,66.000000000
"chains, surveyor's",meters,20.12,20.116800000
"chains, surveyor's",rods,4.00,4.000000000
cords of wood,cubic feet,128.00,128.000000000
cords of wood,cubic meters,3.62,3.624556000
cords of wood,cubic yards,4.74,4.740700000
cups,liquid ounces (US),8.00,8.000000000
cups,liters,0.24,0.236588200
degrees Celsius,degrees Fahrenheit,multiplyby1.8andadd32,#VALUE!
degrees Fahrenheit,degrees Celsius,subtract32anddivideby1.8,#VALUE!
dekaliters,bushels,0.28,0.283775900
dekaliters,cubic feet,0.35,0.353146700
dekaliters,cubic inches,610.24,610.237400000
dekaliters,dry pints,18.16,18.161660000
dekaliters,dry quarts,9.08,9.080829800
dekaliters,liters,10.00,10.000000000
dekaliters,pecks,1.14,1.135104000
"drams, avoirdupois",avoirdupois ounces,0.06,0.062550000
"drams, avoirdupois",grains,27.34,27.344000000
"drams, avoirdupois",grams,1.77,1.771845200
"drams, troy",grains,60.00,60.000000000
"drams, troy",grams,3.89,3.887934600
"drams, troy",scruples,3.00,3.000000000
"drams, troy",troy ounces,0.13,0.125000000
"drams, liquid (US)",cubic inches,0.23,0.226000000
"drams, liquid (US)",liquid drams (British),1.04,1.041000000
"drams, liquid (US)",liquid ounces,0.13,0.125000000
"drams, liquid (US)",milliliters,3.70,3.696690000
"drams, liquid (US)",minims,60.00,60.000000000
fathoms,feet,6.00,6.000000000
fathoms,meters,1.83,1.828800000
feet,centimeters,30.48,30.480000000
feet,inches,12.00,12.000000000
feet,kilometers,0.00,0.000304800
feet,meters,0.30,0.304800000
feet,statute miles,0.00,0.000189390
feet,yards,0.33,0.333333300
"feet, cubic",bushels,0.80,0.803563950
"feet, cubic",cubic decimeters,28.32,28.316847000
"feet, cubic",cubic inches,1728.00,1728.000000000
"feet, cubic",cubic meters,0.03,0.028316847
"feet, cubic",cubic yards,0.04,0.037037040
"feet, cubic",dry pints,51.43,51.428090000
"feet, cubic",dry quarts,25.71,25.714050000
"feet, cubic",gallons,7.48,7.480519000
"feet, cubic",gills,239.38,239.376600000
"feet, cubic",liquid ounces,957.51,957.506500000
"feet, cubic",liquid pints,59.84,59.844160000
"feet, cubic",liquid quarts,29.92,29.922080000
"feet, cubic",liters,28.32,28.316846592
"feet, cubic",pecks,3.21,3.214256000
"feet, square",acres,0.00,0.000022957
"feet, square",square centimeters,929.03,929.030400000
"feet, square",square decimeters,9.29,9.290304000
"feet, square",square inches,144.00,144.000000000
"feet, square",square meters,0.09,0.092903040
"feet, square",square yards,0.11,0.111111100
furlongs,feet,660.00,660.000000000
furlongs,inches,7920.00,7920.000000000
furlongs,meters,201.17,201.168000000
furlongs,statute miles,0.13,0.125000000
furlongs,yards,220.00,220.000000000
"gallons, liquid (US)",cubic feet,0.13,0.133680600
